acc	evalue_clade1	score_clade1	evalue_clade2	score_clade2
AHT69202.1	1.4e-183	622.9	2.9e-08	45.1
AHT73482.1	1.4e-183	622.9	2.9e-08	45.1
AHT77766.1	1.4e-183	622.9	2.9e-08	45.1
AHT82035.1	1.4e-183	622.9	2.9e-08	45.1
AHT86314.1	1.4e-183	622.9	2.9e-08	45.1
AHT90686.1	1.4e-183	622.9	2.9e-08	45.1
AHT95080.1	1.4e-183	622.9	2.9e-08	45.1
AHT97679.1	1.4e-183	622.9	2.9e-08	45.1
AHT99849.1	1.4e-183	622.9	2.9e-08	45.1
AHU04271.1	1.4e-183	622.9	2.9e-08	45.1
AHU08470.1	1.4e-183	622.9	2.9e-08	45.1
AHU12632.1	1.4e-183	622.9	2.9e-08	45.1
AHU16865.1	1.4e-183	622.9	2.9e-08	45.1
AHU21152.1	1.4e-183	622.9	2.9e-08	45.1
AHU25433.1	1.4e-183	622.9	2.9e-08	45.1
AHU29705.1	1.4e-183	622.9	2.9e-08	45.1
AHU33966.1	1.4e-183	622.9	2.9e-08	45.1
AHU38246.1	1.4e-183	622.9	2.9e-08	45.1
AHU42451.1	1.4e-183	622.9	2.9e-08	45.1
AHU46723.1	1.4e-183	622.9	2.9e-08	45.1
AHU50997.1	1.4e-183	622.9	2.9e-08	45.1
AHU55100.1	1.4e-183	622.9	2.9e-08	45.1
AHU59412.1	1.4e-183	622.9	2.9e-08	45.1
AHU63691.1	1.4e-183	622.9	2.9e-08	45.1
AHU67965.1	1.4e-183	622.9	2.9e-08	45.1
AHU72222.1	1.4e-183	622.9	2.9e-08	45.1
AHU76510.1	1.4e-183	622.9	2.9e-08	45.1
AHU80793.1	1.4e-183	622.9	2.9e-08	45.1
AHU94212.1	1.4e-183	622.9	2.9e-08	45.1
AHU98551.1	1.4e-183	622.9	2.9e-08	45.1
AHV02884.1	1.4e-183	622.9	2.9e-08	45.1
AHV07227.1	1.4e-183	622.9	2.9e-08	45.1
AHV11560.1	1.4e-183	622.9	2.9e-08	45.1
AHV15934.1	1.4e-183	622.9	2.9e-08	45.1
AHV20268.1	1.4e-183	622.9	2.9e-08	45.1
AHV28532.1	1.4e-183	622.9	2.9e-08	45.1
AHV32863.1	1.4e-183	622.9	2.9e-08	45.1
AHV41282.1	1.4e-183	622.9	2.9e-08	45.1
AHV47311.1	1.4e-183	622.9	2.9e-08	45.1
AHV51508.1	1.4e-183	622.9	2.9e-08	45.1
AHV55686.1	1.4e-183	622.9	2.9e-08	45.1
AHV60570.1	1.4e-183	622.9	2.9e-08	45.1
AHV64027.1	1.4e-183	622.9	2.9e-08	45.1
AHV68931.1	1.4e-183	622.9	2.9e-08	45.1
AHV72704.1	1.4e-183	622.9	2.9e-08	45.1
AHV76944.1	1.4e-183	622.9	2.9e-08	45.1
AHW04465.1	1.4e-183	622.9	2.9e-08	45.1
AHZ04619.1	1.4e-183	622.9	2.9e-08	45.1
AIK99691.1	1.4e-183	622.9	2.9e-08	45.1
AIM89846.1	1.4e-183	622.9	2.9e-08	45.1
AIM94211.1	1.4e-183	622.9	2.9e-08	45.1
AIN68262.1	1.4e-183	622.9	2.9e-08	45.1
AKG75502.1	1.4e-183	622.9	2.9e-08	45.1
AKQ36241.1	1.4e-183	622.9	2.9e-08	45.1
AKR61893.1	1.4e-183	622.9	2.9e-08	45.1
AKR66159.1	1.4e-183	622.9	2.9e-08	45.1
ALG55022.1	1.4e-183	622.9	2.9e-08	45.1
ALV19638.1	1.4e-183	622.9	2.9e-08	45.1
AMJ19034.1	1.4e-183	622.9	2.9e-08	45.1
AMJ19804.1	1.4e-183	622.9	2.9e-08	45.1
AMJ20475.1	1.4e-183	622.9	2.9e-08	45.1
AMJ21259.1	1.4e-183	622.9	2.9e-08	45.1
AML83180.1	1.4e-183	622.9	2.9e-08	45.1
AMM69491.1	1.4e-183	622.9	2.9e-08	45.1
AMN23074.1	1.4e-183	622.9	2.9e-08	45.1
AMN29544.1	1.4e-183	622.9	2.9e-08	45.1
ANF20746.1	1.4e-183	622.9	2.9e-08	45.1
ATD32168.1	1.4e-183	622.9	2.9e-08	45.1
ATD42355.1	1.4e-183	622.9	2.9e-08	45.1
AUU19458.1	1.4e-183	622.9	2.9e-08	45.1
AVB03715.1	1.4e-183	622.9	2.9e-08	45.1
AXX34523.1	1.4e-183	622.9	2.9e-08	45.1
AZI93605.1	1.4e-183	622.9	2.9e-08	45.1
CAR35114.1	1.4e-183	622.9	2.9e-08	45.1
CAR39498.1	1.4e-183	622.9	2.9e-08	45.1
CDS71162.1	1.4e-183	622.9	2.9e-08	45.1
QBA02892.1	1.4e-183	622.9	2.9e-08	45.1
QEO47726.1	1.4e-183	622.9	2.9e-08	45.1
QQC17820.1	1.4e-183	622.9	2.9e-08	45.1
QTA60164.1	1.4e-183	622.9	2.9e-08	45.1
QTA64548.1	1.4e-183	622.9	2.9e-08	45.1
QTA69173.1	1.4e-183	622.9	2.9e-08	45.1
QVI90630.1	1.4e-183	622.9	2.9e-08	45.1
QVI95111.1	1.4e-183	622.9	2.9e-08	45.1
UQS59701.1	1.4e-183	622.9	2.9e-08	45.1
AAV79366.1	1.4e-183	622.9	3.6e-08	44.8
AJD97539.1	1.4e-183	622.9	3.6e-08	44.8
AJD99238.1	1.4e-183	622.9	3.6e-08	44.8
AKO81534.1	1.4e-183	622.9	3.6e-08	44.8
CAR61594.1	1.4e-183	622.9	3.6e-08	44.8
AHW15616.1	1.5e-183	622.8	3.7e-10	51.4
AJQ67158.1	1.5e-183	622.8	3.7e-10	51.4
AJZ77525.1	1.5e-183	622.8	3.7e-10	51.4
AKF91339.1	1.5e-183	622.8	3.7e-10	51.4
ALO85098.1	1.5e-183	622.8	3.7e-10	51.4
ALO89684.1	1.5e-183	622.8	3.7e-10	51.4
AMY72655.1	1.5e-183	622.8	3.7e-10	51.4
AMY77004.1	1.5e-183	622.8	3.7e-10	51.4
AMY81751.1	1.5e-183	622.8	3.7e-10	51.4
AMY86326.1	1.5e-183	622.8	3.7e-10	51.4
AMZ05415.1	1.5e-183	622.8	3.7e-10	51.4
AMZ09978.1	1.5e-183	622.8	3.7e-10	51.4
AMZ14455.1	1.5e-183	622.8	3.7e-10	51.4
AMZ18895.1	1.5e-183	622.8	3.7e-10	51.4
QQH84751.1	1.5e-183	622.8	3.7e-10	51.4
QQI82248.1	1.5e-183	622.8	3.7e-10	51.4
QQJ26254.1	1.5e-183	622.8	3.7e-10	51.4
QGR30453.1	1.5e-183	622.8	3.2e-08	45.0
UBS82770.1	1.5e-183	622.8	3.2e-08	45.0
ASO08561.1	1.5e-183	622.8	1.8e-05	35.9
AVS11526.1	1.7e-183	622.7	2.9e-08	45.1
AWE23002.1	1.7e-183	622.7	2.9e-08	45.1
AWE32099.1	1.7e-183	622.7	2.9e-08	45.1
AZZ02324.1	1.7e-183	622.7	2.9e-08	45.1
CRY84840.1	1.7e-183	622.7	2.9e-08	45.1
QQH73212.1	1.7e-183	622.7	2.9e-08	45.1
QQI59049.1	1.7e-183	622.7	2.9e-08	45.1
QQJ19290.1	1.7e-183	622.7	2.9e-08	45.1
ACF92659.1	1.8e-183	622.6	2.1e-08	45.6
AHW24065.1	1.8e-183	622.6	2.1e-08	45.6
QKW84828.1	1.8e-183	622.6	2.1e-08	45.6
QQH98495.1	1.8e-183	622.6	2.1e-08	45.6
QQI55355.1	1.8e-183	622.6	2.1e-08	45.6
UBX33158.1	1.8e-183	622.6	2.1e-08	45.6
QGR35410.1	1.9e-183	622.5	3.8e-08	44.8
QQH70828.1	1.9e-183	622.5	3.8e-08	44.8
QQI81234.1	1.9e-183	622.5	3.8e-08	44.8
QJY53929.1	1.9e-183	622.4	2.4e-06	38.8
QGR56315.1	2e-183	622.4	2.5e-08	45.3
AGX12201.1	2.0999999999999998e-183	622.3	2.7e-06	38.7
AKG79942.1	2.0999999999999998e-183	622.3	2.7e-06	38.7
ALH00814.1	2.0999999999999998e-183	622.3	2.7e-06	38.7
ALH05182.1	2.0999999999999998e-183	622.3	2.7e-06	38.7
AUO50061.1	2.0999999999999998e-183	622.3	2.7e-06	38.7
QCW67539.1	2.0999999999999998e-183	622.3	2.7e-06	38.7
SQH38459.1	2.0999999999999998e-183	622.3	2e-06	39.1
ACN47871.1	2.4e-183	622.1	2.3e-06	38.9
AIK94676.1	2.4e-183	622.1	2.3e-06	38.9
QEP94993.1	2.4e-183	622.1	2.3e-06	38.9
QQI30680.1	2.4e-183	622.1	2.3e-06	38.9
AHQ44704.2	2.5e-183	622.1	4.4e-08	44.5
QED01885.1	2.5e-183	622.1	3.3e-08	45.0
QKW79532.1	2.5e-183	622.1	3.3e-08	45.0
ABX69923.1	2.6e-183	622.0	1.8e-08	45.9
AHW26131.1	2.6e-183	622.0	1.8e-08	45.9
SBL11469.1	2.6e-183	622.0	1.8e-08	45.9
AAL22572.1	2.6e-183	622.0	2.6e-08	45.3
ACF69468.1	2.6e-183	622.0	2.6e-08	45.3
ADX19503.1	2.6e-183	622.0	2.6e-08	45.3
AEF09545.1	2.6e-183	622.0	2.6e-08	45.3
AFD60572.1	2.6e-183	622.0	2.6e-08	45.3
AGK11346.1	2.6e-183	622.0	2.6e-08	45.3
AGQ62533.1	2.6e-183	622.0	2.6e-08	45.3
AGQ69865.1	2.6e-183	622.0	2.6e-08	45.3
AGQ78336.1	2.6e-183	622.0	2.6e-08	45.3
AGQ84286.1	2.6e-183	622.0	2.6e-08	45.3
AHB95558.1	2.6e-183	622.0	2.6e-08	45.3
AHX79406.1	2.6e-183	622.0	2.6e-08	45.3
AJQ80852.1	2.6e-183	622.0	2.6e-08	45.3
AKD10392.1	2.6e-183	622.0	2.6e-08	45.3
AKH09342.1	2.6e-183	622.0	2.6e-08	45.3
ALE64173.1	2.6e-183	622.0	2.6e-08	45.3
ALN25518.1	2.6e-183	622.0	2.6e-08	45.3
ALN30143.1	2.6e-183	622.0	2.6e-08	45.3
ALN34879.1	2.6e-183	622.0	2.6e-08	45.3
AMG25859.1	2.6e-183	622.0	2.6e-08	45.3
AML90921.1	2.6e-183	622.0	2.6e-08	45.3
AML96791.1	2.6e-183	622.0	2.6e-08	45.3
AMM01514.1	2.6e-183	622.0	2.6e-08	45.3
AMP80890.1	2.6e-183	622.0	2.6e-08	45.3
AMW96954.1	2.6e-183	622.0	2.6e-08	45.3
AMZ23182.1	2.6e-183	622.0	2.6e-08	45.3
AMZ27677.1	2.6e-183	622.0	2.6e-08	45.3
AMZ32274.1	2.6e-183	622.0	2.6e-08	45.3
AMZ36777.1	2.6e-183	622.0	2.6e-08	45.3
AMZ41528.1	2.6e-183	622.0	2.6e-08	45.3
AMZ46212.1	2.6e-183	622.0	2.6e-08	45.3
AMZ50911.1	2.6e-183	622.0	2.6e-08	45.3
AMZ55625.1	2.6e-183	622.0	2.6e-08	45.3
AMZ60323.1	2.6e-183	622.0	2.6e-08	45.3
AMZ65063.1	2.6e-183	622.0	2.6e-08	45.3
ANU86752.1	2.6e-183	622.0	2.6e-08	45.3
ANU91230.1	2.6e-183	622.0	2.6e-08	45.3
ANU95704.1	2.6e-183	622.0	2.6e-08	45.3
ANV00185.1	2.6e-183	622.0	2.6e-08	45.3
ANV04771.1	2.6e-183	622.0	2.6e-08	45.3
ANV09340.1	2.6e-183	622.0	2.6e-08	45.3
ANV13924.1	2.6e-183	622.0	2.6e-08	45.3
ANV18492.1	2.6e-183	622.0	2.6e-08	45.3
ARE50068.1	2.6e-183	622.0	2.6e-08	45.3
ASE69506.1	2.6e-183	622.0	2.6e-08	45.3
ASF66623.1	2.6e-183	622.0	2.6e-08	45.3
AVL59488.1	2.6e-183	622.0	2.6e-08	45.3
AVL60595.1	2.6e-183	622.0	2.6e-08	45.3
AWO06558.1	2.6e-183	622.0	2.6e-08	45.3
AWO10031.1	2.6e-183	622.0	2.6e-08	45.3
AWO51036.1	2.6e-183	622.0	2.6e-08	45.3
AWO59023.1	2.6e-183	622.0	2.6e-08	45.3
AZU09915.1	2.6e-183	622.0	2.6e-08	45.3
BAJ38713.1	2.6e-183	622.0	2.6e-08	45.3
BAP09686.1	2.6e-183	622.0	2.6e-08	45.3
CBG26715.1	2.6e-183	622.0	2.6e-08	45.3
CBW19773.1	2.6e-183	622.0	2.6e-08	45.3
CCW76395.1	2.6e-183	622.0	2.6e-08	45.3
CDG09754.1	2.6e-183	622.0	2.6e-08	45.3
QBR63812.1	2.6e-183	622.0	2.6e-08	45.3
QCG26437.1	2.6e-183	622.0	2.6e-08	45.3
QDD29075.1	2.6e-183	622.0	2.6e-08	45.3
QGR48945.1	2.6e-183	622.0	2.6e-08	45.3
QKX32519.1	2.6e-183	622.0	2.6e-08	45.3
QQB57243.1	2.6e-183	622.0	2.6e-08	45.3
QQH29618.1	2.6e-183	622.0	2.6e-08	45.3
QQH43844.1	2.6e-183	622.0	2.6e-08	45.3
QQI17173.1	2.6e-183	622.0	2.6e-08	45.3
QQI45125.1	2.6e-183	622.0	2.6e-08	45.3
QQI49600.1	2.6e-183	622.0	2.6e-08	45.3
QQI63641.1	2.6e-183	622.0	2.6e-08	45.3
QQJ14466.1	2.6e-183	622.0	2.6e-08	45.3
AGQ74882.1	2.8e-183	621.9	1.4e-07	42.9
QQJ33739.1	2.8e-183	621.9	1.4e-07	42.9
AHQ27376.2	2.9e-183	621.9	5.8e-08	44.1
AHS68213.2	2.9e-183	621.9	5.8e-08	44.1
ASO42327.1	3.1999999999999998e-183	621.7	2e-07	42.3
QDL21450.1	3.1999999999999998e-183	621.7	2e-07	42.3
QQI02891.1	3.1999999999999998e-183	621.7	2e-07	42.3
QQJ85390.1	3.1999999999999998e-183	621.7	2e-07	42.3
ASO35312.1	3.1999999999999998e-183	621.7	2.2e-06	38.9
ACY90858.1	3.3e-183	621.7	1.2e-07	43.1
AIE07686.1	3.3e-183	621.7	1.2e-07	43.1
AVL66058.1	3.3e-183	621.7	1.2e-07	43.1
QQJ10334.1	3.5e-183	621.6	4.9e-06	37.8
VEA00208.1	3.7e-183	621.5	1.7e-09	49.2
BBN70841.1	3.8e-183	621.5	5.7e-08	44.2
ASG86193.1	4.1999999999999996e-183	621.3	4.3e-06	38.0
AAX67542.1	4.4e-183	621.3	2.3e-05	35.6
AET56089.1	4.4e-183	621.2	2.3e-08	45.5
AGS64681.1	4.4e-183	621.2	2.3e-08	45.5
AGU66590.1	4.4e-183	621.2	2.3e-08	45.5
AKW09456.1	4.4e-183	621.2	2.3e-08	45.5
CDS69581.1	4.4e-183	621.2	2.3e-08	45.5
BBN75310.1	4.4e-183	621.2	1.6e-07	42.7
AKG32385.1	4.7e-183	621.2	2e-05	35.8
ASO26963.1	4.7e-183	621.2	2e-05	35.8
QEX03527.1	4.7e-183	621.2	2e-05	35.8
QQH89666.1	4.8e-183	621.1	3.7e-08	44.8
AZY96195.1	5.8e-183	620.9	1.1e-07	43.3
ASO36449.1	7.4e-183	620.5	1.7e-08	45.9
QQI68437.1	7.4e-183	620.5	1.7e-08	45.9
AHN78093.1	7.7e-183	620.4	9.8e-08	43.4
AMW51885.1	7.7e-183	620.4	9.8e-08	43.4
AZI76465.1	7.7e-183	620.4	9.8e-08	43.4
AAO71288.1	8.399999999999999e-183	620.3	8.7e-10	50.2
AEZ47606.1	8.399999999999999e-183	620.3	8.7e-10	50.2
AGK69318.1	8.399999999999999e-183	620.3	8.7e-10	50.2
ALG18201.1	8.399999999999999e-183	620.3	8.7e-10	50.2
ALG20643.1	8.399999999999999e-183	620.3	8.7e-10	50.2
CAD03281.1	8.399999999999999e-183	620.3	8.7e-10	50.2
QGT85095.1	8.399999999999999e-183	620.3	8.7e-10	50.2
ALP95897.1	8.8e-183	620.3	8.8e-08	43.5
ASE75858.1	8.8e-183	620.3	8.8e-08	43.5
ASO46334.1	8.8e-183	620.3	8.8e-08	43.5
AVS18204.1	8.8e-183	620.3	8.8e-08	43.5
CDF55989.1	8.8e-183	620.3	8.8e-08	43.5
QQH94090.1	8.8e-183	620.3	8.8e-08	43.5
QQI35500.1	8.8e-183	620.3	8.8e-08	43.5
QQI73066.1	8.8e-183	620.3	8.8e-08	43.5
QQJ28349.1	8.8e-183	620.3	8.8e-08	43.5
QSQ79932.1	8.8e-183	620.3	8.8e-08	43.5
AKW13744.1	9.6e-183	620.1	1.4e-07	42.8
AMW56442.1	9.6e-183	620.1	1.4e-07	42.8
CBY97894.1	9.6e-183	620.1	1.4e-07	42.8
CUR97438.1	9.6e-183	620.1	1.4e-07	42.8
CUR97439.1	9.6e-183	620.1	1.4e-07	42.8
CUR97440.1	9.6e-183	620.1	1.4e-07	42.8
CUS00062.1	9.6e-183	620.1	1.4e-07	42.8
QCW71912.1	9.6e-183	620.1	1.4e-07	42.8
QEC86332.1	9.6e-183	620.1	1.4e-07	42.8
AVT55226.1	1.1e-182	619.9	1.9e-07	42.4
UBU87452.1	1.1e-182	619.9	1.9e-07	42.4
ACF62503.1	1.2000000000000001e-182	619.8	2.5e-08	45.3
AGS27142.1	1.2000000000000001e-182	619.8	2.5e-08	45.3
AIT45224.1	1.2000000000000001e-182	619.8	2.5e-08	45.3
AJA99279.1	1.2000000000000001e-182	619.8	2.5e-08	45.3
